internal_drug_id,query_name,candidate_rxcui,candidate_name,candidate_tty,match_method,match_score,selected_as_final,selection_reason
DRUG_000002,goserelin,50610,goserelin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000006,cyclosporine,3008,cyclosporine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000007,octreotide,7617,octreotide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000014,calcitriol,1894,calcitriol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000020,ergocalciferol,4018,ergocalciferol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000028,pravastatin,42463,pravastatin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000029,fluvoxamine,42355,fluvoxamine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000030,valsartan,69749,valsartan,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000031,ramipril,35296,ramipril,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000033,"12-Fluoro-5-hydroxy-6b-(hydroxyacetyl)-4a,6a,8,8-tetramethyl-4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-dodecahydro-2H,8H-naphtho(2',1':4,5)indeno(1,2-d)(1,3)dioxol-2-one",5084,halcinonide,IN,approximate_lookup,58.29359679429799,0,Alternative candidate
DRUG_000034,baclofen,1292,baclofen,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000037,Amphetamine,725,amphetamine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000040,lorazepam,6470,lorazepam,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000042,bortezomib,358258,bortezomib,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000045,Phentermine,8152,phentermine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000046,tramadol,10689,tramadol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000047,betaxolol,1520,betaxolol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000048,Fluconazole,4450,fluconazole,IN,exact_name_lookup,100.0,1,Top matching score candidate
