internal_drug_id,entity_status,name_candidate,name_source,name_resolution_status,rxnorm_match_status,rxnorm_match_method,rxcui,rxnorm_name,rxnorm_synonym,rxnorm_tty,rxnorm_language,match_score,enrichment_confidence,api_status,error_message
DRUG_000001,CONFIRMED_INTEGRATED_ENTITY,bivalirudin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,60819,bivalirudin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000002,CONFIRMED_INTEGRATED_ENTITY,goserelin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,50610,goserelin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000003,CONFIRMED_INTEGRATED_ENTITY,gramicidin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,5011,gramicidin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000004,CONFIRMED_INTEGRATED_ENTITY,Desmopressin,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,203658,DDAVP,,BN,ENG,100.0,HIGH_EXACT,success,
DRUG_000005,CONFIRMED_INTEGRATED_ENTITY,daptomycin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,22299,daptomycin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000006,CONFIRMED_INTEGRATED_ENTITY,cyclosporine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,3008,cyclosporine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000007,CONFIRMED_INTEGRATED_ENTITY,octreotide,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,7617,octreotide,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000008,CONFIRMED_INTEGRATED_ENTITY,vitamin B12,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,11248,vitamin B12,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000009,CONFIRMED_INTEGRATED_ENTITY,phenylalanine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,8156,phenylalanine,L-phenylalanine,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000010,CONFIRMED_INTEGRATED_ENTITY,choline,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,2449,choline,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000011,CONFIRMED_INTEGRATED_ENTITY,L-Ascorbic Acid,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1151,ascorbic acid,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000012,CONFIRMED_INTEGRATED_ENTITY,glutamine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,4885,glutamine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000013,CONFIRMED_INTEGRATED_ENTITY,methionine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,6837,methionine,L-methionine,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000014,CONFIRMED_INTEGRATED_ENTITY,calcitriol,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,1894,calcitriol,"1,25-dihydroxycholecalciferol",IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000015,CONFIRMED_INTEGRATED_ENTITY,riboflavin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,9346,riboflavin,lactoflavin,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000016,CONFIRMED_INTEGRATED_ENTITY,L-Glutamic Acid,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,25916,glutamic acid,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000017,CONFIRMED_INTEGRATED_ENTITY,25-Hydroxyvitamin D3,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1855064,calcifediol anhydrous,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000018,CONFIRMED_INTEGRATED_ENTITY,tryptophan,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,10898,tryptophan,L-tryptophan,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000019,CONFIRMED_INTEGRATED_ENTITY,thiamine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,10454,thiamine,,IN,ENG,100.0,HIGH_EXACT,success,
