internal_drug_id,name_candidate,failure_type,failure_stage,error_message
DRUG_000045,Phentermine,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['221138', '8152']"
DRUG_000048,Fluconazole,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['4450', '202813']"
DRUG_000062,Remikiren,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000116,Cefmenoxime,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000129,Pamidronic Acid,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['11473', '1546406']"
DRUG_000145,Bupivacaine (USAN:INN:BAN),NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000239,Zoledronic Acid,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['1546014', '77655']"
DRUG_000265,(8-Methyl-8-Azabicyclo(3.2.1)Octan-3-Yl) 3-Hydroxy-2-Phenylpropanoate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000271,Cefpiramide,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000284,Celestone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000295,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000309,"Cinchonan-9-ol, 6'-methoxy-, (8alpha,9R)-",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000358,"3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000366,Cyclophosphamide,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['3002', '1545988']"
DRUG_000376,Adinazolam,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000388,Bosentan,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['75207', '1468845']"
DRUG_000503,Cephaloglycin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000541,Cisatracurium Besylate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000576,Hydrocortamate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000637,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000678,Risedronate,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['55685', '73056']"
DRUG_000784,Hydroxyurea,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['151871', '5552']"
DRUG_000812,Cerulenin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000820,Gatifloxacin,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['228476', '1546025']"
DRUG_000861,Pentolinium,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_000912,Amifostine,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['1545987', '4126']"
DRUG_000967,Ridogrel,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001000,Decamethonium,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001007,Mitiglinide,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001009,Dasatinib,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['475342', '1546019']"
DRUG_001023,Carbetocin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001024,Lumiracoxib,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001027,Glisoxepide,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001030,Bevantolol,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001053,Vecuronium,AMBIGUOUS_CLINICAL_MAPPING,conflict_resolution,"Conflict: mapped to multiple different RxCUIs: ['71535', '1546399']"
DRUG_001057,Tasosartan,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001060,Hexobarbital,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001074,Paramethasone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001091,Pranlukast,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001094,Cefacetrile,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001100,Nitroxoline,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001101,Stepronin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001105,Aprindine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001114,Fencamfamine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001116,Camazepam,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001118,Delorazepam,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001122,Cloxazolam,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001126,Fludiazepam,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001129,"3-Acetamido-2,4,6-triiodo-5-(N-methylacetamido)-N-((2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-YL)benzamide",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001134,Liotrix,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001137,"4-{4,7-dihydroxy-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-1-yl}pentanoic acid",NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001163,Aceprometazine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001175,Topiroxostat,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001179,Equilin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001191,Ribostamycin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001205,Estrone Sulfate,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001207,Fleroxacin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001227,Voglibose,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001228,Vapreotide,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001230,Ximelagatran [MI],NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001241,Lucanthone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001250,Ecabet,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001251,Ibudilast,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001272,Rimonabant,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001274,Pixantrone,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001277,Lasofoxifene,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001288,Vernakalant,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001295,Amrubicin,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001297,NO_NAME_CANDIDATE,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001298,Sitaxentan,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001314,Agomelatine,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001352,Sulfaphenazole,NO_MATCH,matching,No matching concept found in RxNorm API.
DRUG_001355,Zaltoprofen,NO_MATCH,matching,No matching concept found in RxNorm API.
