internal_drug_id,source_dataset,source_drug_id,rxcui,mapping_status
DRUG_000001,drugbank,DB00006,60819,HIGH_EXACT
DRUG_000002,drugbank,DB00014,50610,HIGH_EXACT
DRUG_000002,twosides,CID000047725,50610,HIGH_EXACT
DRUG_000003,drugbank,DB00027,5011,HIGH_EXACT
DRUG_000004,drugbank,DB00035,203658,HIGH_EXACT
DRUG_000005,drugbank,DB00080,22299,HIGH_EXACT
DRUG_000006,drugbank,DB00091,3008,HIGH_EXACT
DRUG_000006,twosides,CID000002909,3008,HIGH_EXACT
DRUG_000007,drugbank,DB00104,7617,HIGH_EXACT
DRUG_000007,twosides,CID000054374,7617,HIGH_EXACT
DRUG_000008,drugbank,DB00115,11248,HIGH_EXACT
DRUG_000009,drugbank,DB00120,8156,HIGH_EXACT
DRUG_000010,drugbank,DB00122,2449,HIGH_EXACT
DRUG_000011,drugbank,DB00126,1151,HIGH_EXACT
DRUG_000012,drugbank,DB00130,4885,HIGH_EXACT
DRUG_000013,drugbank,DB00134,6837,HIGH_EXACT
DRUG_000014,drugbank,DB00136,1894,HIGH_EXACT
DRUG_000014,twosides,CID000002524,1894,HIGH_EXACT
DRUG_000015,drugbank,DB00140,9346,HIGH_EXACT
DRUG_000016,drugbank,DB00142,25916,HIGH_EXACT
DRUG_000017,drugbank,DB00146,1855064,HIGH_EXACT
DRUG_000018,drugbank,DB00150,10898,HIGH_EXACT
DRUG_000019,drugbank,DB00152,10454,HIGH_EXACT
DRUG_000020,drugbank,DB00153,4018,HIGH_EXACT
DRUG_000020,twosides,CID000003249,4018,HIGH_EXACT
DRUG_000021,drugbank,DB00158,202634,HIGH_EXACT
DRUG_000021,twosides,CID000003405,,UNRESOLVED
DRUG_000022,drugbank,DB00162,11246,HIGH_EXACT
DRUG_000022,twosides,CID000001071,,UNRESOLVED
DRUG_000023,drugbank,DB00163,11256,HIGH_EXACT
DRUG_000024,drugbank,DB00165,42954,HIGH_EXACT
DRUG_000025,drugbank,DB00166,6417,HIGH_EXACT
DRUG_000026,drugbank,DB00169,2418,HIGH_EXACT
DRUG_000027,drugbank,DB00170,6728,HIGH_EXACT
DRUG_000028,drugbank,DB00175,42463,HIGH_EXACT
DRUG_000028,twosides,CID000004889,42463,HIGH_EXACT
DRUG_000029,drugbank,DB00176,42355,HIGH_EXACT
DRUG_000029,twosides,CID000003404,42355,HIGH_EXACT
DRUG_000030,drugbank,DB00177,69749,HIGH_EXACT
DRUG_000030,twosides,CID000005650,69749,HIGH_EXACT
DRUG_000031,drugbank,DB00178,35296,HIGH_EXACT
DRUG_000031,twosides,CID000005038,35296,HIGH_EXACT
DRUG_000032,drugbank,DB00179,227239,HIGH_EXACT
DRUG_000033,drugbank,DB00180,1546428,HIGH_EXACT
DRUG_000033,twosides,CID000003379,,UNRESOLVED
DRUG_000034,drugbank,DB00181,1292,HIGH_EXACT
