internal_drug_id,entity_type,rxcui,properties
DRUG_000035,AMBIGUOUS_MAPPING_COMPONENT,3288,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(N)Cc1ccccc1', 'inchikey': 'KWTSXDURSIMDCE-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000036,AMBIGUOUS_MAPPING_COMPONENT,3288,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(N)Cc1ccccc1', 'inchikey': 'KWTSXDURSIMDCE-QMMMGPOBSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000037,AMBIGUOUS_MAPPING_COMPONENT,725,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC(N)Cc1ccccc1', 'inchikey': 'KWTSXDURSIMDCE-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000065,AMBIGUOUS_MAPPING_COMPONENT,2556,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21', 'inchikey': 'WSEQXVZVJXJVFP-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000066,AMBIGUOUS_MAPPING_COMPONENT,321988,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21', 'inchikey': 'WSEQXVZVJXJVFP-FQEVSTJZSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000067,AMBIGUOUS_MAPPING_COMPONENT,2556,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21', 'inchikey': 'WSEQXVZVJXJVFP-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000143,AMBIGUOUS_MAPPING_COMPONENT,1815,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C', 'inchikey': 'LEBVLXFERQHONN-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000144,AMBIGUOUS_MAPPING_COMPONENT,1815,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C', 'inchikey': 'LEBVLXFERQHONN-INIZCTEOSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000145,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C', 'inchikey': 'LEBVLXFERQHONN-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000185,AMBIGUOUS_MAPPING_COMPONENT,20610,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1', 'inchikey': 'ZKLPARSLTMPFCP-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
