internal_drug_id,entity_type,status,properties
DRUG_000045,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'CC(C)(N)Cc1ccccc1', 'inchikey': 'DHHVAGZRUROJKS-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000048,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F', 'inchikey': 'RFHAOTPXVQNOHP-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000062,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1', 'inchikey': 'UXIGZRQVLGFTOU-VQXQMPIVSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000116,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1', 'inchikey': 'HJJDBAOLQAWBMH-YCRCPZNHSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000129,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'NCCC(O)(P(=O)(O)O)P(=O)(O)O', 'inchikey': 'WRUUGTRCQOWXEG-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000145,AMBIGUOUS_MAPPING_COMPONENT,NO_MATCH,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C', 'inchikey': 'LEBVLXFERQHONN-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000239,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O', 'inchikey': 'XRASPMIURGNCCH-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000265,AMBIGUOUS_MAPPING_COMPONENT,NO_MATCH,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'inchikey': 'RKUNBYITZUJHSG-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000271,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'Cc1cc(O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1', 'inchikey': 'PWAUCHMQEXVFJR-PMAPCBKXSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000284,AMBIGUOUS_MAPPING_COMPONENT,NO_MATCH,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO', 'inchikey': 'UREBDLICKHMUKA-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
