drug_name,normalized_drug_name,ismp_high_alert,ismp_category,entry_type,matched_canonical_id,matched_display_name,matched_rxcui,is_matched_in_graph,source,source_document
"adrenergic agonists, IV (e.g., EPINEPHrine, phenylephrine, norepinephrine)",adrenergic agonists,True,"adrenergic agonists, IV",medication_class,,,,False,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
epinephrine,epinephrine,True,"adrenergic agonists, IV",specific_medication,DRUG_000483,epinephrine,3992,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
phenylephrine,phenylephrine,True,"adrenergic agonists, IV",specific_medication,DRUG_000228,phenylephrine,8163,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
norepinephrine,norepinephrine,True,"adrenergic agonists, IV",specific_medication,DRUG_000213,norepinephrine,7512,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
"adrenergic antagonists, IV (e.g., propranolol, metoprolol, labetalol)",adrenergic antagonists,True,"adrenergic antagonists, IV",medication_class,,,,False,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
propranolol,propranolol,True,"adrenergic antagonists, IV",specific_medication,DRUG_000399,propranolol,8787,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
metoprolol,metoprolol,True,"adrenergic antagonists, IV",specific_medication,DRUG_000114,metoprolol,6918,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
labetalol,labetalol,True,"adrenergic antagonists, IV",specific_medication,DRUG_000420,labetalol,6185,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
"anesthetic agents, general, inhaled and IV (e.g., propofol, ketamine)","anesthetic agents, general, inhaled and iv",True,"anesthetic agents, general, inhaled and IV",medication_class,,,,False,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
propofol,propofol,True,"anesthetic agents, general, inhaled and IV",specific_medication,DRUG_000620,propofol,8782,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
ketamine,ketamine,True,"anesthetic agents, general, inhaled and IV",specific_medication,DRUG_000981,ketamine,6130,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
"antiarrhythmics, IV (e.g., lidocaine, amiodarone)",antiarrhythmics,True,"antiarrhythmics, IV",medication_class,,,,False,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
lidocaine,lidocaine,True,"antiarrhythmics, IV",specific_medication,DRUG_000128,lidocaine,6387,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
amiodarone,amiodarone,True,"antiarrhythmics, IV",specific_medication,DRUG_000888,amiodarone,703,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
"antithrombotic agents: anticoagulants (e.g., warfarin, low molecular weight heparin, unfractionated heparin)",antithrombotic agents: anticoagulants,True,antithrombotic agents,medication_class,,,,False,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
warfarin,warfarin,True,antithrombotic agents,specific_medication,DRUG_000496,warfarin,11289,True,ISMP,ISMP_HighAlert_AcuteCare_List_010924_MS5760.pdf
