drugbank_id,twosides_id,canonical_smiles_match,inchikey_match,mapping_confidence
DB09389,CID000004542,True,True,HIGH_EXACT
DB00934,CID000004011,True,True,HIGH_EXACT
DB01030,CID000005515,True,False,MEDIUM_CANONICAL
DB00257,CID000002812,True,True,HIGH_EXACT
DB00987,CID000000596,True,False,MEDIUM_CANONICAL
DB01006,CID000003902,True,True,HIGH_EXACT
DB00564,CID000002554,True,True,HIGH_EXACT
DB00176,CID000003404,True,False,MEDIUM_CANONICAL
DB00188,CID000093860,True,False,MEDIUM_CANONICAL
DB00544,CID000003385,True,True,HIGH_EXACT
DB00758,CID000002806,True,False,MEDIUM_CANONICAL
DB01586,CID000005645,True,False,MEDIUM_CANONICAL
DB00381,CID000002162,True,True,HIGH_EXACT
DB01339,CID000039765,True,False,MEDIUM_CANONICAL
DB00545,CID000004991,True,True,HIGH_EXACT
DB00593,CID000003291,True,True,HIGH_EXACT
DB00559,CID000104865,True,True,HIGH_EXACT
DB01249,CID000003724,True,True,HIGH_EXACT
DB01026,CID000003823,True,True,HIGH_EXACT
DB00422,CID000004158,True,True,HIGH_EXACT
DB00732,CID000047320,True,True,HIGH_EXACT
DB00238,CID000004463,True,True,HIGH_EXACT
DB00648,CID000004211,True,True,HIGH_EXACT
DB01043,CID000004054,True,True,HIGH_EXACT
DB00193,CID000005523,True,False,MEDIUM_CANONICAL
DB01124,CID000005505,True,True,HIGH_EXACT
DB00490,CID000002477,True,True,HIGH_EXACT
DB00201,CID000002519,True,True,HIGH_EXACT
DB00440,CID000005578,True,True,HIGH_EXACT
DB00962,CID000005719,True,True,HIGH_EXACT
DB01155,CID000072938,True,False,MEDIUM_CANONICAL
DB00734,CID000005073,True,True,HIGH_EXACT
DB01216,CID000003350,True,False,MEDIUM_CANONICAL
DB01004,CID000003454,False,True,HIGH_INCHIKEY
DB00712,CID000003394,True,True,HIGH_EXACT
DB00481,CID000005035,True,True,HIGH_EXACT
DB00470,CID000002978,True,False,MEDIUM_CANONICAL
DB01222,CID000002462,True,False,MEDIUM_CANONICAL
DB00843,CID000003152,True,True,HIGH_EXACT
