drugbank_id,twosides_id,mapping_confidence
DB00014,CID000047725,MEDIUM_CANONICAL
DB00091,CID000002909,MEDIUM_CANONICAL
DB00104,CID000054374,MEDIUM_CANONICAL
DB00136,CID000002524,MEDIUM_CANONICAL
DB00153,CID000003249,MEDIUM_CANONICAL
DB00158,CID000003405,MEDIUM_CANONICAL
DB00162,CID000001071,MEDIUM_CANONICAL
DB00175,CID000004889,MEDIUM_CANONICAL
DB00176,CID000003404,MEDIUM_CANONICAL
DB00177,CID000005650,MEDIUM_CANONICAL
DB00178,CID000005038,MEDIUM_CANONICAL
DB00180,CID000003379,MEDIUM_CANONICAL
DB00181,CID000002284,HIGH_EXACT
DB00182,CID000003007,HIGH_EXACT
DB01576,CID000003007,MEDIUM_CANONICAL
DB00184,CID000000942,MEDIUM_CANONICAL
DB00186,CID000003958,HIGH_EXACT
DB00188,CID000093860,MEDIUM_CANONICAL
DB00191,CID000004771,HIGH_EXACT
DB00193,CID000005523,MEDIUM_CANONICAL
DB00195,CID000002369,HIGH_EXACT
DB00196,CID000003365,HIGH_EXACT
DB00198,CID000004603,MEDIUM_CANONICAL
DB00199,CID000003255,MEDIUM_CANONICAL
DB00201,CID000002519,HIGH_EXACT
DB00203,CID000005212,HIGH_INCHIKEY
DB00204,CID000071329,HIGH_EXACT
DB00205,CID000004993,HIGH_EXACT
DB00206,CID000005052,MEDIUM_CANONICAL
DB00207,CID000002269,MEDIUM_CANONICAL
DB00208,CID000005472,HIGH_EXACT
DB00209,CID000005596,MEDIUM_CANONICAL
DB00210,CID000060164,HIGH_EXACT
DB00211,CID000004195,HIGH_EXACT
DB00213,CID000004679,HIGH_EXACT
DB00214,CID000041781,HIGH_EXACT
DB00215,CID000002771,HIGH_EXACT
DB01175,CID000002771,MEDIUM_CANONICAL
DB00216,CID000077993,MEDIUM_CANONICAL
DB00218,CID000004259,MEDIUM_CANONICAL
DB00220,CID000004451,MEDIUM_CANONICAL
DB00222,CID000003476,MEDIUM_CANONICAL
DB00224,CID000003706,MEDIUM_CANONICAL
DB00227,CID000003962,MEDIUM_CANONICAL
DB00230,CID000125889,MEDIUM_CANONICAL
DB00231,CID000005391,HIGH_EXACT
DB00238,CID000004463,HIGH_EXACT
DB00242,CID000001546,MEDIUM_CANONICAL
