internal_drug_id,source_dataset,source_drug_id,mapping_confidence
DRUG_000001,drugbank,DB00006,unmapped
DRUG_000002,drugbank,DB00014,MEDIUM_CANONICAL
DRUG_000002,twosides,CID000047725,MEDIUM_CANONICAL
DRUG_000003,drugbank,DB00027,unmapped
DRUG_000004,drugbank,DB00035,unmapped
DRUG_000005,drugbank,DB00080,unmapped
DRUG_000006,drugbank,DB00091,MEDIUM_CANONICAL
DRUG_000006,twosides,CID000002909,MEDIUM_CANONICAL
DRUG_000007,drugbank,DB00104,MEDIUM_CANONICAL
DRUG_000007,twosides,CID000054374,MEDIUM_CANONICAL
DRUG_000008,drugbank,DB00115,unmapped
DRUG_000009,drugbank,DB00120,unmapped
DRUG_000010,drugbank,DB00122,unmapped
DRUG_000011,drugbank,DB00126,unmapped
DRUG_000012,drugbank,DB00130,unmapped
DRUG_000013,drugbank,DB00134,unmapped
DRUG_000014,drugbank,DB00136,MEDIUM_CANONICAL
DRUG_000014,twosides,CID000002524,MEDIUM_CANONICAL
DRUG_000015,drugbank,DB00140,unmapped
DRUG_000016,drugbank,DB00142,unmapped
DRUG_000017,drugbank,DB00146,unmapped
DRUG_000018,drugbank,DB00150,unmapped
DRUG_000019,drugbank,DB00152,unmapped
DRUG_000020,drugbank,DB00153,MEDIUM_CANONICAL
DRUG_000020,twosides,CID000003249,MEDIUM_CANONICAL
DRUG_000021,drugbank,DB00158,MEDIUM_CANONICAL
DRUG_000021,twosides,CID000003405,MEDIUM_CANONICAL
DRUG_000022,drugbank,DB00162,MEDIUM_CANONICAL
DRUG_000022,twosides,CID000001071,MEDIUM_CANONICAL
DRUG_000023,drugbank,DB00163,unmapped
DRUG_000024,drugbank,DB00165,unmapped
DRUG_000025,drugbank,DB00166,unmapped
DRUG_000026,drugbank,DB00169,unmapped
DRUG_000027,drugbank,DB00170,unmapped
DRUG_000028,drugbank,DB00175,MEDIUM_CANONICAL
DRUG_000028,twosides,CID000004889,MEDIUM_CANONICAL
DRUG_000029,drugbank,DB00176,MEDIUM_CANONICAL
DRUG_000029,twosides,CID000003404,MEDIUM_CANONICAL
DRUG_000030,drugbank,DB00177,MEDIUM_CANONICAL
DRUG_000030,twosides,CID000005650,MEDIUM_CANONICAL
DRUG_000031,drugbank,DB00178,MEDIUM_CANONICAL
DRUG_000031,twosides,CID000005038,MEDIUM_CANONICAL
DRUG_000032,drugbank,DB00179,unmapped
DRUG_000033,drugbank,DB00180,MEDIUM_CANONICAL
DRUG_000033,twosides,CID000003379,MEDIUM_CANONICAL
DRUG_000034,drugbank,DB00181,HIGH_EXACT
DRUG_000034,twosides,CID000002284,HIGH_EXACT
DRUG_000035,drugbank,DB00182,ambiguous
DRUG_000036,drugbank,DB01576,ambiguous
DRUG_000037,twosides,CID000003007,ambiguous
DRUG_000038,drugbank,DB00184,MEDIUM_CANONICAL
DRUG_000038,twosides,CID000000942,MEDIUM_CANONICAL
DRUG_000039,drugbank,DB00185,unmapped
DRUG_000040,drugbank,DB00186,HIGH_EXACT
DRUG_000040,twosides,CID000003958,HIGH_EXACT
DRUG_000041,drugbank,DB00187,unmapped
DRUG_000042,drugbank,DB00188,MEDIUM_CANONICAL
DRUG_000042,twosides,CID000093860,MEDIUM_CANONICAL
DRUG_000043,drugbank,DB00189,unmapped
DRUG_000044,drugbank,DB00190,unmapped
DRUG_000045,drugbank,DB00191,HIGH_EXACT
DRUG_000045,twosides,CID000004771,HIGH_EXACT
DRUG_000046,drugbank,DB00193,MEDIUM_CANONICAL
DRUG_000046,twosides,CID000005523,MEDIUM_CANONICAL
DRUG_000047,drugbank,DB00195,HIGH_EXACT
DRUG_000047,twosides,CID000002369,HIGH_EXACT
DRUG_000048,drugbank,DB00196,HIGH_EXACT
DRUG_000048,twosides,CID000003365,HIGH_EXACT
DRUG_000049,drugbank,DB00198,MEDIUM_CANONICAL
DRUG_000049,twosides,CID000004603,MEDIUM_CANONICAL
