side_effect_id,side_effect_name,source_dataset
1024,hypermagnesemia,twosides
767,retinopathy of prematurity,twosides
79,atelectasis,twosides
25,alkalosis,twosides
85,Back Ache,twosides
735,lung edema,twosides
959,agitated,twosides
255,abnormal movements,twosides
9,Acidosis,twosides
740,peliosis,twosides
815,rupture of spleen,twosides
56,Apnea,twosides
247,Drug hypersensitivity,twosides
328,flatulence,twosides
1149,pain in throat,twosides
442,allergies,twosides
853,thrombocytopenia,twosides
1226,bradycardia,twosides
1132,lung infiltration,twosides
391,Bleeding,twosides
1072,hypoglycaemia neonatal,twosides
1136,Gastrointestinal Obstruction,twosides
433,hyperglycaemia,twosides
679,peritonitis,twosides
457,hypoglycaemia,twosides
0,abdominal distension,twosides
369,asystole,twosides
143,cerebral infarct,twosides
1143,hypoxia,twosides
258,Difficulty breathing,twosides
466,decreased body temperature,twosides
658,adynamic ileus,twosides
1155,sepsis,twosides
1025,Hypomagnesaemia,twosides
757,neonatal respiratory distress syndrome,twosides
758,Acute Respiratory Distress Syndrome,twosides
518,lipoma,twosides
666,pelvic infection,twosides
57,appendectomy,twosides
327,flank pain,twosides
699,pneumothorax,twosides
58,appendicitis,twosides
827,Strabismus,twosides
455,Blood calcium decreased,twosides
1286,respiratory failure,twosides
447,pulmonary hypertension,twosides
429,Hypercapnia,twosides
479,intestinal perforation,twosides
512,leucocytosis,twosides
528,Disorder Lung,twosides
420,hot flash,twosides
464,arterial pressure NOS decreased,twosides
1100,metabolic acidosis,twosides
207,Bladder inflammation,twosides
72,ascites,twosides
249,patent ductus arteriosis,twosides
841,sinus tachycardia,twosides
830,stridor,twosides
1236,arterial pressure NOS increased,twosides
1221,Hypoventilation,twosides
267,edema,twosides
523,disease of liver,twosides
1033,Aspartate Aminotransferase Increase,twosides
1194,Cold extremities,twosides
330,facial flushing,twosides
36,anaphylactic reaction,twosides
304,eruption,twosides
13,acute pancreatitis,twosides
692,neumonia,twosides
14,adenocarcinoma,twosides
184,confusion,twosides
1082,malnourished,twosides
392,haemorrhoids,twosides
1257,still birth,twosides
37,anaemia,twosides
248,drug toxicity NOS,twosides
1273,increased white blood cell count,twosides
949,encephalopathy,twosides
47,Anorexia,twosides
878,tremor,twosides
364,Hallucination,twosides
529,chronic obstructive airway disease,twosides
245,drowsiness,twosides
367,Head ache,twosides
84,back injury,twosides
887,erythema,twosides
240,Diplopia,twosides
816,enlarged spleen,twosides
596,narcolepsy,twosides
299,esophageal spasm,twosides
1180,erosive gastritis,twosides
1207,gastroenteritis viral,twosides
539,Lymphocytes decreased,twosides
1260,Breast cancer,twosides
725,itch,twosides
39,haemolytic anaemia,twosides
888,upper gastrointestinal bleeding,twosides
485,icterus,twosides
343,gastroenteritis,twosides
656,optic disc edema,twosides
1277,sleep disorder,twosides
796,septic shock,twosides
941,bladder retention,twosides
55,Aphonia,twosides
648,Pain,twosides
931,idiopathic thrombocytopenic purpura,twosides
697,pneumonia staphylococcal,twosides
28,alopecia,twosides
185,conjunctivitis,twosides
694,lobar pneumonia,twosides
352,glomerulonephritis,twosides
250,duodenal ulcer,twosides
1008,deep vein thromboses,twosides
514,leucopenia,twosides
1290,rhinorrhea,twosides
121,bursitis,twosides
1023,bleeding Vaginal,twosides
305,Excoriation,twosides
759,Ekbom Syndrome,twosides
604,nephrocalcinosis,twosides
1216,blurred vision,twosides
741,thrombotic microangiopathy,twosides
243,dizziness,twosides
689,pleurisy,twosides
834,sunburn,twosides
418,Hoarseness,twosides
1176,Bleeding hemorrhoids,twosides
315,Fatigue,twosides
693,aspiration pneumonia,twosides
1181,perirectal abscess,twosides
238,diarrhea,twosides
76,asthma,twosides
803,skin lesion,twosides
866,tinnitus,twosides
810,muscle spasm,twosides
324,fib,twosides
124,Candida Infection,twosides
1255,Abnormal Gait,twosides
354,glossodynia,twosides
325,anal fissure,twosides
916,Infection Viral,twosides
139,cellulitis,twosides
223,allergic dermatitis,twosides
189,constipated,twosides
100,Clotting,twosides
661,muscle paresis,twosides
212,deafness,twosides
924,vocal cord paralysis,twosides
1034,dry skin,twosides
1058,ear discharge,twosides
1032,eye pain,twosides
510,Leukaemia,twosides
591,myopia,twosides
496,Chronic Kidney Disease,twosides
495,acute kidney failure,twosides
872,retrocollis,twosides
175,cognitive disorder,twosides
158,Cholangitis,twosides
467,hypothyroid,twosides
220,dermatitides,twosides
1027,Abnormal LFTs,twosides
222,dermatitis medicamentosa,twosides
217,acute brain syndrome,twosides
368,Deafness neurosensory,twosides
581,fungal disease,twosides
1044,nasal sinus congestion,twosides
1267,Near Syncope,twosides
296,erythema multiforme,twosides
384,haematoma,twosides
99,bleb,twosides
597,nasal congestion,twosides
31,amenorrhea,twosides
293,epistaxis,twosides
395,hepatitis,twosides
172,coated tongue,twosides
615,Neutropenia,twosides
932,wheeze,twosides
1182,haemorrhage rectum,twosides
1,abdominal pain,twosides
153,chest pain,twosides
881,Mycobacterium tuberculosis infection,twosides
163,cholelithiasis,twosides
744,pyoderma,twosides
505,laryngeal neoplasia,twosides
383,Blood disorder,twosides
732,psychoses,twosides
1116,aching muscles,twosides
7,abscess,twosides
884,loss of consciousness,twosides
833,attempted suicide,twosides
363,bad breath,twosides
68,Arthritis infective,twosides
930,loss of weight,twosides
599,nasopharyngitis,twosides
294,belching,twosides
773,Rhinitis,twosides
483,Colon Spastic,twosides
587,heart attack,twosides
524,hepatic neoplasia,twosides
1152,azotaemia,twosides
607,nervous tension,twosides
1028,muscle weakness,twosides
971,hypochloraemia,twosides
979,cataract,twosides
1118,abdominal pain upper,twosides
1283,insomnia,twosides
257,dyspepsia,twosides
74,asthenia,twosides
926,emesis,twosides
736,Embolism pulmonary,twosides
91,biliary tract disorder,twosides
1083,colitis ischemic,twosides
649,Extremity pain,twosides
199,arteriosclerotic heart disease,twosides
1126,Small intestinal obstruction,twosides
662,Paraesthesia,twosides
602,neoplasia,twosides
837,Fainting,twosides
461,blood sodium decreased,twosides
807,sneezing,twosides
1115,Feeling unwell,twosides
459,hypokalaemia,twosides
525,lower GI bleeding,twosides
1010,migraine,twosides
1069,intervertebral disc disorder,twosides
640,osteoporosis,twosides
444,High blood pressure,twosides
1109,road traffic accident,twosides
1310,diverticulosis,twosides
70,Arthritis rheumatoid,twosides
917,Abnormal vision,twosides
63,arteriosclerosis,twosides
836,bulging,twosides
633,Osteoarthritis,twosides
154,pleural pain,twosides
344,acid reflux,twosides
323,fibromyalgia,twosides
546,breast pain,twosides
650,palpitation,twosides
411,herpes zoster,twosides
110,Breast cyst,twosides
589,myoglobinuria,twosides
637,osteomalacia,twosides
785,ischias,twosides
65,Aching joints,twosides
66,arthritis,twosides
246,abuse,twosides
180,colonic polyp,twosides
162,cholecystitis,twosides
1117,Dyspnea exertional,twosides
1021,Extrasystoles Ventricular,twosides
777,acne rosacea,twosides
893,Incontinence,twosides
340,gall bladder,twosides
233,diabetic acidosis,twosides
236,Diabetic Retinopathy,twosides
96,blepharitis,twosides
742,pyelonephritis,twosides
936,aptyalism,twosides
98,Blepharospasm,twosides
41,aneurysm,twosides
90,benign prostatic hyperplasia,twosides
1228,wrist fracture,twosides
241,dislocation,twosides
1307,Superficial thrombophlebitis,twosides
213,Decreased Libido,twosides
214,decubitus ulcer,twosides
756,kidney failure,twosides
556,meningitides,twosides
1096,ild,twosides
1150,prostatism,twosides
955,Atrioventricular block first degree,twosides
201,Cough,twosides
914,Vestibular disorder,twosides
981,panic attack,twosides
619,nightmare,twosides
1296,wandering atrial pacemaker,twosides
526,Breast Lump,twosides
621,nocturia,twosides
913,spinning sensation,twosides
230,Diabetes,twosides
116,bronchitis,twosides
706,polyp,twosides
638,osteomyelitis,twosides
738,lung fibrosis,twosides
401,enlarged liver,twosides
935,laceration,twosides
182,coma,twosides
576,amyotrophy,twosides
122,cachectic,twosides
500,renal cyst,twosides
678,neuropathy peripheral,twosides
1164,collagenvascular disease,twosides
87,Bacterial infection,twosides
907,angiitis,twosides
791,convulsion,twosides
1079,iron deficiency anaemia,twosides
1280,Cardiomyopathy,twosides
113,bronchial spasm,twosides
319,femur fracture,twosides
1002,fascitis plantar,twosides
373,Cardiac decompensation,twosides
825,mucositis oral,twosides
1046,joint swelling,twosides
403,hernia,twosides
349,glaucoma,twosides
565,mitral valve disease NOS,twosides
963,edema extremities,twosides
997,pulmonary mass,twosides
322,breast dysplasia,twosides
685,Phlebitis,twosides
530,lung neoplasms,twosides
1256,balance disorder,twosides
653,bone marrow failure,twosides
215,deglutition disorder,twosides
17,adrenal insufficiency,twosides
